device,model_id,newest_firmware,newest_firmware_url,newest_firmware_date,oldest_changelog_version,oldest_changelog_url,release_date,release_date_raw,release_date_source,resolution,color,spec_source,notes
Basic Touch (624),157,4.4.1739,https://download.pocketbook-int.com/fw/Yitoa/624/user/20161223/sw_20161223_624_W_br_4.4_1739_br_4.4_for_qt5_qt5_user.zip,2016-12-23,4.4.1739,https://support.pocketbook-int.com/fw/624/ww/4.4.1739/rn/RN_PB_BasicTouch_EN.pdf,2016-12-23,"December 23, 2016",changelog PDF,800×600,False,User_Guide_PocketBook_624_DE.pdf (FW 4.4.1739),Single firmware version on the API. Release date from changelog PDF first page.
Basic Touch 2 (625) / Basic Touch 2 Safe and Save,158,4.4.1814,https://download.pocketbook-int.com/fw/Yitoa/625/user/20170321/sw_20170321_625_W_br_4.4_1814_br_4.4_for_qt5_qt5_user.zip,2017-03-21,4.4.1814,https://support.pocketbook-int.com/fw/625/ww/4.4.1814/rn/RN_PB_BasicTouch2_EN_4.4.1814.pdf,2017-03-21,"Murch 21, 2017",changelog PDF,800×600,False,User_Guide_PocketBook_625_DE.pdf (v4.4.1814),"Release-notes header has typo 'Murch 21, 2017' (= March 21, 2017). 6"" E Ink Carta, 166 dpi, Schwarz-Weiß."
Color Lux 801 (Support eingestellt),164,4.1,https://download.pocketbook-int.com/fw/Yitoa/801/user/sw_20131025_801_W_us_sync_rr_bookstore_br_4.1_801_915_default_default_triton_user.zip,2013-10-25,4.1,https://support.pocketbook-int.com/fw/801/ww/4.1/rn/RN_PB_ColorLux_ENG.pdf,2013-10-25,"October, 25 2013",changelog PDF,800 × 600,True,User_Guide_PocketBook_801_DE.pdf (FW 4.1),"Manual specs list only 'E Ink kapazitives Multi-Sensor-Display, 800×600' without explicit color/grayscale wording; color=true because device is the color E Ink Triton model (changelog PDF titled 'PocketBook Color Lux'). API lists a single firmware version."
Color Note,2494,1.2.219,https://download.pocketbook-int.com/fw/netronix/1041/user/20250616/PB1041.1.2.219_PB_update.zip,,1.1.123,https://support.pocketbook-int.com/fw/1041/u/1.1.123/rn/de/RN_PB_Color_Note_DE.pdf,2024-11-11,"November 11, 2024",changelog PDF,1404 × 1872,True,User_Manual_Color_Note_DE.pdf (v1.2.219),"Firmware zip filename has no sw_YYYYMMDD date, so firmware date null. E Ink Kaleido 3 color display per manual."
Era Color,2387,6.10.2359,https://download.pocketbook-int.com/fw/Jezetek/700k3/user/20251113/sw_20251113_U700k3_6.10.2359_user.zip,2025-11-13,6.8.3687,https://support.pocketbook-int.com/fw/700K3/u/6.8.3687/rn/de/RN_PB_Era_Color_DE.pdf,2024-06-12,"Juni 12, 2024",changelog PDF,"1264 x 1680 (Graustufenmodus), 632 × 840 (Farbmodus)",True,User_Manual_Era_Color_DE.pdf (FW 6.10.2359),"Color E Ink Kaleido 3 display; oldest version 6.8.3283 has no release notes, so oldest changelog is 6.8.3687."
Era Lite,2599,6.10.3463,https://download.pocketbook-int.com/fw/Jezetek/710/user/20260414/sw_20260414_U710_6.10.3463_user.zip,2026-04-14,,,2026-04-14,,oldest firmware zip filename (no changelog PDF),1264 × 1680,False,User_Manual_Era_Lite_DE.pdf (FW 6.10.3463),"No items.3 (release notes) in API payload, so no changelog/release date. Manual: 7"" E Ink Carta 1200, 300 dpi, Schwarz Weiß. | release date from oldest firmware zip (6.10.3463)"
Era Stardust Silver / Era Sunset Copper,1695,6.10.3209,https://download.pocketbook-int.com/fw/Jezetek/700/user/20260223/sw_20260223_U700_6.10.3209_user.zip,2026-02-23,6.7.775,https://support.pocketbook-int.com/fw/700/u/6.7.775/rn/de/RN_PB_Era_DE.pdf,2022-07-27,"Juli 27, 2022",changelog PDF,1264 × 1680,False,User_Manual_Era_DE.pdf (v6.10.3209),"11 firmware versions listed; oldest 6.7.584 has no release-notes PDF, used next-oldest 6.7.775. Display: 7"" E Ink Carta 1200, 1264x1680, 300 dpi, Schwarz-Weiß."
IQ 701 (Support eingestellt),163,2.1.2,https://download.pocketbook-int.com/fw/netronix/701/user/20120103/20120103_user_EU_2.1.2_PB701SWUPDATE.zip,2012-01-03,2.0.6,https://support.pocketbook-int.com/fw/701/ww/2.0.6/rn/release-notes-2.0.6-en.pdf,2011-04-06,,oldest firmware zip filename (no changelog PDF),800×600,True,User_Guide_Pocketbook_701_DE.pdf (v2.1.2),"Zip filename starts with YYYYMMDD (20120103) instead of sw_YYYYMMDD_ pattern, date parsed from filename. Release-notes PDF (2.0.6) contains NO date anywhere (starts directly with change list) -> release_date null. Display is a color TFT LCD ('7″-Touchscreen, TFT 800x600, 143 dpi, 262.000 Farben'), not e-ink. | release date from oldest firmware zip (2.0.6)"
InkPad (840) / InkPad 2 (840),148,5.20.706,https://download.pocketbook-int.com/fw/Yitoa/840/user/20190521/sw_20190521_U840_5.20.706_user.zip,2019-05-21,5.4,https://support.pocketbook-int.com/fw/840/ww/5.4/rn/RN_PB_InkPad_RU.pdf,2014-10-27,27 октября 2014 г.,changelog PDF,1200 × 1600,False,User_Manual_InkPad_DE.pdf (FW 5.20.706),Oldest version 4.4 has no release-notes item; took next-oldest 5.4 changelog. Changelog is Russian localization.
InkPad 3 Black / InkPad 3 Dark Brown,22,6.8.4473,https://download.pocketbook-int.com/fw/Yitoa/740/user/20250110/sw_20250110_U740_6.8.4473_user.zip,2025-01-10,5.17.1736,https://support.pocketbook-int.com/fw/740/u/5.17.1736/rn/de/RN_PB_InkPad_3_DE_5.17.1736.pdf,2018-05-21,"Mai 21, 2018",changelog PDF,1404 × 1872,False,User_Manual_InkPad_3_DE.pdf v6.8.4473,
InkPad 3 Pro,383,6.8.4521,https://download.pocketbook-int.com/fw/Yitoa/740-2/user/20250127/sw_20250127_U740-2_6.8.4521_user.zip,2025-01-27,5.20.1155,https://support.pocketbook-int.com/fw/740-2/u/5.20.1155/rn/de/RN_PB_InkPad_3_Pro_DE.5.20.1155.pdf,2019-07-30,"30. Juli, 2019",changelog PDF,1404 × 1872,False,User_Manual_InkPad_3_Pro_DE.pdf (v6.8.4521),Monochrome E Ink Carta per manual (Schwarz-Weiß).
InkPad 4,1914,6.11.1683,https://download.pocketbook-int.com/fw/Yitoa/743g/user/20260731/sw_20260731_U743g_6.11.1683_user.zip,2026-07-31,6.8.1719,https://support.pocketbook-int.com/fw/743G/u/6.8.1719/rn/de/RN_PB_InkPad_4_DE.pdf,2023-06-29,"Juni 29, 2023",changelog PDF,1404 × 1872,False,User_Manual_InkPad_4_DE.pdf (FW 6.11.1683),"Oldest version 6.8.885 has no release notes, so oldest changelog is 6.8.1719."
InkPad Color,1461,6.8.4079,https://download.pocketbook-int.com/fw/Yitoa/741/user/20240906/sw_20240906_U741_6.8.4079_user.zip,2024-09-06,6.3.560,https://support.pocketbook-int.com/fw/741/u/6.3.560/rn/de/RN_PB_741_DE_6.3.pdf,2021-03-10,"März 10, 2021",changelog PDF,"1404 × 1872 (Graustufenmodus), 468 × 624 (Farbmodus)",True,User_Manual_InkPad_Color_DE.pdf (FW 6.8.4079),"E Ink new Kaleido color screen, 4096 Farbmodus; DPI 300 (Graustufen) / 100 (Farbe). Changelog body shows 'März 10, 2020' but header block says März 10, 2021, matching firmware zip date sw_20210310."
InkPad Color 2,2014,6.8.3140,https://download.pocketbook-int.com/fw/Yitoa/743c/user/20240226/sw_20240226_U743c_6.8.3140_user.zip,2024-02-26,6.8.1550,https://support.pocketbook-int.com/fw/743C/u/6.8.1550/rn/de/RN_PB_InkPad_Color_2_DE.pdf,2023-06-05,"Juni 05, 2023",changelog PDF,"1404 × 1872 (Graustufenmodus), 468 × 624 (Farbmodus)",True,User_Manual_InkPad_Color_2_DE.pdf (v6.8.3140),Color E Ink Kaleido Plus display (color=true).
InkPad Color 3,2254,6.10.2854,https://download.pocketbook-int.com/fw/Yitoa/743k3/user/20260105/sw_20260105_U743k3_6.10.2854_user.zip,2026-01-05,6.8.2480,https://support.pocketbook-int.com/fw/743K3/u/6.8.2480/rn/de/RN_PB_InkPad_Color_3_DE.pdf,2023-11-07,"November 07, 2023",changelog PDF,"1404 × 1872 (Graustufenmodus), 702 × 936 (Farbmodus)",True,User_Manual_InkPad_Color_3_DE.pdf (v6.10.2854),E Ink Kaleido 3 color display per manual.
InkPad Eo,2460,1.3.1,https://download.pocketbook-int.com/fw/Liangyan/1042/user/20240821/W1042.1.3.1-OTA-Package.zip,,1.1.8,https://support.pocketbook-int.com/fw/1042/u/1.1.8/rn/ww/RN_PB_InkPad_EO_EN.pdf,2024-06-10,"June 10, 2024",changelog PDF,1860 × 2480,True,User_Manual_InkPad_Eo_DE.pdf (v1.5.6),"API lists versions 1.5.6/1.4.16/1.4.11 WITHOUT a firmware zip (only manual+release notes); newest downloadable firmware is 1.3.1. Zip filename W1042.1.3.1-OTA-Package.zip has no embedded date -> date null (URL path contains 20240821). Display: 10.3' E Ink Kaleido 3 color, 1860 x 2480 grayscale / 930 x 1240 color, 16 gray levels, 4096 colors in color mode."
InkPad Lite,1527,6.8.4644,https://download.pocketbook-int.com/fw/Jezetek/970/user/20250318/sw_20250318_U970_6.8.4644_user.zip,2025-03-18,6.5.866,https://support.pocketbook-int.com/fw/970/u/6.5.866/rn/de/RN_PB_InkPad_Lite_DE.pdf,2021-10-25,"Oktober 25, 2021",changelog PDF,825 × 1200,False,User_Manual_InkPad_Lite_DE.pdf (FW 6.8.4644),All 7 listed versions have release notes; oldest is 6.5.866.
InkPad One,2575,6.11.1437,https://download.pocketbook-int.com/fw/Jezetek/1030/user/20260713/swupdate_user_1030_6.11.1437.zip,,6.11.586,https://support.pocketbook-int.com/fw/1030/u/6.11.586/rn/de/RN_PB_InkPad_One_DE.pdf,2026-03-05,"Marsch 05, 2026",changelog PDF,1404 × 1872,False,User_Manual_InkPad_One_DE.pdf (v6.11.1437),"Firmware zip filename has no sw_YYYYMMDD_ prefix, so date is null (URL path hints 2026-07-13). Version 6.11.436 lists no firmware/release-notes. 10.3"" E Ink Mobius, 226 dpi, Schwarz-Weiß."
InkPad X,809,6.8.4083,https://download.pocketbook-int.com/fw/Jezetek/1040/user/20240906/sw_20240906_U1040_6.8.4083_user.zip,2024-09-06,6.3.798,https://support.pocketbook-int.com/fw/1040/u/6.3.798/rn/de/RN_PB_InkPad_X_DE.pdf,2021-04-30,"April 30, 2021",changelog PDF,1404 × 1872,False,User_Manual_InkPad_X_DE.pdf v6.8.4083,
InkPad X Pro,1993,4.1.0,https://download.pocketbook-int.com/fw/Jezetek/1040D/user/20250213/W1040D_4.1.0_20250212-OTA-Package.zip,2025-02-12,3.6.2,https://support.pocketbook-int.com/fw/1040D/u/3.6.2/rn/ww/RN_PB_InkPad_X_Pro_EN.pdf,2023-11-14,"November 14, 2023",changelog PDF,1404 × 1872,False,User_Manual_InkPad_X_Pro_DE.pdf (FW 4.1.0),Oldest firmware 3.6.2 has release-notes PDF; 16-stufige Grauskala (monochrome).
Limited Edition - Touch Lux 4 / Touch Lux 4 black / Touch Lux 4 emerald / Touch Lux 4 silver,807,6.5.2898,https://download.pocketbook-int.com/fw/Yitoa/627/user/20220720/sw_20220720_U627_6.5.2898_user.zip,2022-07-20,5.20.1508,https://support.pocketbook-int.com/fw/627/ww/5.20.1508/rn/de/RN_PB_Touch_Lux_4_DE.5.20.1508.pdf,2019-10-24,"24. Oktober, 2019",changelog PDF,1024×758,False,User_Manual_Touch_Lux_4_DE.pdf (v6.5.2898),Monochrome E Ink Carta per manual.
Mini 515,150,4.4.583,https://download.pocketbook-int.com/fw/Yitoa/515/user/sw_20140207_515_W_us_sync_s2pb_bookstore_br_4.4_583_0_user.zip,2014-02-07,4.4.583,https://support.pocketbook-int.com/fw/515/ww/4.4.583/rn/RN_PB_Mini_EN.pdf,2013-12-06,"December, 6 2013",changelog PDF,800×600,False,User_Guide_PocketBook_515_ww_DE.pdf (FW 4.4.583),Support eingestellt (discontinued). Only one firmware version available.
PocketBook 301 (Support eingestellt),41,,,,,,,,changelog PDF,,,,No firmware/changelog/manual data on company.pocketbook.de for this discontinued device
PocketBook Color Moon Silver,1364,633.6.8.2817,https://download.pocketbook-int.com/fw/Yitoa/633/user/20231228/sw_20231228_U633_6.8.2817_user.zip,2023-12-28,633.6.1.962,https://support.pocketbook-int.com/fw/633/u/633.6.1.962/rn/de/RN_PB_633_Color_DE_6.1.pdf,2020-10-22,"Oktober 22, 2020",changelog PDF,1072 × 1448 (Graustufen),True,User_Manual_Color_DE.pdf (633.6.8.2817),Color E Ink Kaleido display (color=true); manual lists only grayscale resolution (1072x1448).
Pro 602 (Support eingestellt),151,2.1.3,https://download.pocketbook-int.com/fw/Foxconn/602/user/20120411/sw_20120411_602_LIBRI_obreeysync_br_2.1.3_0_libri_user.zip,2012-04-11,,,2011-03-12,,oldest firmware zip filename (no changelog PDF),600×800,False,User_Guide_PocketBook_602_DE.pdf (v2.1.3),"No release-notes PDF (items.3) exists for any firmware version, so release_date is null. Specs from manual 'Technische Merkmale' (6'' E Ink Vizplex, 600x800, 166 dpi, Schwarz-weiß). | release date from oldest firmware zip (2.0.5)"
Pro 603 (Support eingestellt),813,2.1.3,https://download.pocketbook-int.com/fw/Foxconn/603/user/20120411/sw_20120411_603_LIBRI_obreeysync_br_2.1.3_0_libri_user.zip,2012-04-11,,,2011-03-12,,oldest firmware zip filename (no changelog PDF),600×800,False,User_Guide_PocketBook_603_DE.pdf (v2.1.3),"No version has an items.3 release-notes PDF in the API (2.1.3/2.1.2/2.0.6/2.0.5 all lack changelog) -> release_date null. Manual specs section titled 'Technische merkmale': 6' E Ink Vizplex 600x800, 166 dpi, schwarz-weiss. | release date from oldest firmware zip (2.0.5)"
Pro 612 (Support eingestellt),153,2.1.3,https://download.pocketbook-int.com/fw/Foxconn/612/user/20120411/sw_20120411_612_LIBRI_obreeysync_br_2.1.3_0_libri_user.zip,2012-04-11,2.1.3,https://support.pocketbook-int.com/fw/612/de/2.1.3/rn/RN_PB__DEU__602_603_612__902__903_912.pdf,2011-12-15,,oldest firmware zip filename (no changelog PDF),600×800,False,User_Guide_PocketBook_612_DE.pdf (FW 2.1.3),"Oldest version 2.1.2 has no release-notes item; took 2.1.3. The items.3 PDF is actually a dictionary-installation guide, not release notes - no date on first page, so release_date is null. Specs from 'Technische Merkmale' section. | release date from oldest firmware zip (2.1.2)"
Pro 902 (Support eingestellt),165,2.1.3,https://download.pocketbook-int.com/fw/Foxconn/902/de/20120411/sw_20120411_902_LIBRI_obreeysync_br_2.1.3_0_libri_user.zip,2012-04-11,,,2011-03-12,,oldest firmware zip filename (no changelog PDF),1200×825,False,User_Guide_PocketBook_902_DE.pdf (v2.1.3),"No release-notes (items.3) PDF exists for any listed version, so oldest_changelog/release_date are null. Manual spec section titled 'Technische Merkmale': 9.7"" E-Ink Vizplex, 150 dpi, schwarz-weiss. | release date from oldest firmware zip (2.0.5)"
Pro 903 (Support eingestellt),166,2.1.3,https://download.pocketbook-int.com/fw/Foxconn/903/de/20120411/sw_20120411_903_LIBRI_obreeysync_br_2.1.3_0_libri_user.zip,2012-04-11,,,2011-03-12,,oldest firmware zip filename (no changelog PDF),1200 × 825,False,User_Guide_PocketBook_903_DE.pdf v2.1.3,No release-notes PDF for any version (only firmware+manual); support ended. | release date from oldest firmware zip (2.0.5)
Pro 912 (Support eingestellt),167,2.1.3,https://download.pocketbook-int.com/fw/Foxconn/912/user/de/20120411/sw_20120411_912_LIBRI_obreeysync_br_2.1.3_0_libri_user.zip,2012-04-11,,,2011-12-15,,oldest firmware zip filename (no changelog PDF),1200 × 825,False,User_Guide_PocketBook_912_DE.pdf (FW 2.1.3),"Neither firmware version (2.1.3, 2.1.2) has a release-notes PDF (items.3 missing in API), so oldest_changelog/release_date are null. Manual specs: 'E-Ink Vizplex 1200×825, schwarz-weiss'. | release date from oldest firmware zip (2.1.2)"
SURFpad (Support eingestellt),168,2.0,https://download.pocketbook-int.com/fw/netronix/SP/user/20121217/Obreey_SURFPAD-ota-20121217_WW_334.upkg,2012-12-17,1.1,https://support.pocketbook-int.com/fw/SP/ww/1.1/rn/RN_PB_U7_EN.pdf,2012-11-07,"November, 7 2012",changelog PDF,800×480,,UG_U7_EN.pdf (v2.0),"Support eingestellt. Manual only states '7"" 800×480 touch screen' (Android tablet); does not specify color/monochrome, so color left null. | Android tablet; manual states resolution but not color/display type"
"SURFpad 3 (10,1')",170,1.0,https://download.pocketbook-int.com/fw/netronix/SP310/user/20140206/obreey_surfpad3_101-ota-20140206_256.upkg,2014-02-06,1.0,https://support.pocketbook-int.com/fw/SP310/ww/1.0/rn/RN_PB_SerfPad3_2010_ENG.pdf,2014-02-05,"February, 05 2014",changelog PDF,1280×800,True,UG_MTK10_EN.pdf (FW 1.0),"Support eingestellt (discontinued). Only one version; API version title is '1', release notes state 1.0.255. Android LCD tablet, color display (not e-ink). Manual is English."
"SURFpad 3 (7,85`) Support eingestellt",171,1.0,https://download.pocketbook-int.com/fw/netronix/SP3785/user/20140206/obreey_surfpad3_785-ota-20140206_256.upkg,2014-02-06,1.0,https://support.pocketbook-int.com/fw/SP3785/ww/1.0/rn/RN_PB_SerfPad3_208_ENG.pdf,2014-02-05,"February, 05 2014",changelog PDF,1024 × 768,,UG_MTK8_EN.pdf (FW 1.0),"Android 4.2 tablet, not an e-reader. Manual only states '7,85"" touch screen 1024x768'; no color/monochrome qualifier given, so color left null. Changelog firmware version listed as 1.0.255. | Android tablet; manual states resolution but not color/display type"
SURFpad 4 L (Support eingestellt),172,149,https://download.pocketbook-int.com/fw/netronix/SP4L/user/20150408/obreey_surfpad4_l-ota-20150408_149.zip,2015-04-08,137,https://support.pocketbook-int.com/fw/SP4L/ww/137/rn/RN_PB_SerfPad4_EN.pdf,2015-01-14,"January, 14 2015",changelog PDF,2048 × 1536,,UG_MTK_L_DE.pdf (v149),"Android 4.4 tablet, not an E-ink reader; manual does not state color/grayscale so color left null. Firmware filename uses nonstandard 'ota-YYYYMMDD' format; date parsed from it. | Android tablet; manual states resolution but not color/display type"
SURFpad2 (Support eingestellt),169,230,https://download.pocketbook-int.com/fw/netronix/SP2/user/20130910/Obreey_SURFPAD2-ota-20130910_230.upkg,2013-09-10,202,https://support.pocketbook-int.com/fw/SP2/ww/202/rn/RN_PB_U7_ENG_202.pdf,2013-06-06,"June, 06 2013",changelog PDF,1280×800,,Manual_EN.pdf (v230),"Firmware file is .upkg named Obreey_SURFPAD2-ota-20130910_230.upkg (date parsed from 20130910, not sw_YYYYMMDD format). Changelog RN PDF is titled 'PocketBook U7 Plus' but is the one linked for this device. Manual states only '7"" touch screen 1280×800' - no explicit color/monochrome wording, so color left null. | Android tablet; manual states resolution but not color/display type"
Sense 630 (Support eingestellt),160,5.14.1049,https://download.pocketbook-int.com/fw/Foxconn/630/user/20161223/sw_20161223_630_W_5.14_1049_5.12_CI_gdb_pn_user.zip,2016-12-23,5.14.1049,https://support.pocketbook-int.com/fw/630/ww/5.14.1049/rn/RN_PB_630_ENG.pdf,2016-12-23,"December 23, 2016",changelog PDF,1024×758,False,User_Guide_PocketBook_630_DE.pdf (v5.14.1049),"Only one version listed in API. Display: 6' E Ink Pearl HD, 1024x758, 212 dpi, Schwarz-Weiß."
Touch 622 (Support eingestellt),155,4.4.565,https://download.pocketbook-int.com/fw/Foxconn/622/4.4/sw_20140204_622_EURO_us_syncV2_rr_s2pb_bookstore_br_4.4_565_user.zip,2014-02-04,4.0.506,https://support.pocketbook-int.com/fw/622/ww/4.0.506/rn/RN_PB_Touch_ENG_.4.0.pdf,2012-11-26,"November, 26 2012",changelog PDF,600×800,False,User_Guide_PocketBook_622_DE.pdf (FW 4.4.565),All 3 versions have release notes; oldest is 4.0.506.
Touch HD (631) / Touch HD 2 Brown,572,5.20.1527,https://download.pocketbook-int.com/fw/netronix/631/user/20191107/sw_20191107_U631_5.20.1527_user.zip,2019-11-07,5.17.1409,https://support.pocketbook-int.com/fw/631/u/5.17.1409/rn/ww/RN_PB_631_EN.5.17.1409.pdf,2018-02-27,"February 27, 2018",changelog PDF,1072×1448,False,User_Manual_Touch_HD_DE.pdf (v5.20.1527),"Oldest changelog PDF is the English localization (RN_PB_631_EN). 6"" E Ink Carta, 300 dpi, Schwarz-Weiß."
Touch HD 3 Metallic Grey / Touch HD 3 Spicy Copper,33,6.11.1796,https://download.pocketbook-int.com/fw/Yitoa/632/user/20260811/sw_20260811_U632_6.11.1796_user.zip,2026-08-11,5.19.832,https://support.pocketbook-int.com/fw/632_HZO/ww/5.19.832/rn/de/RN_PB_Touch_HD_3_DE_5.19.832.pdf,2019-02-21,"Februar 21, 2019",changelog PDF,1072 × 1448,False,User_Manual_Touch_HD_3_DE.pdf (FW 6.11.1796),"12 versions; newest numerically is 6.11.1796 (2026-08-11), newer than 6.9.1035."
Touch Lux 2 (626) / Touch Lux 3 (626) / Touch Lux 3 Gold / Touch Lux 3 Ruby Red,159,5.20.1157,https://download.pocketbook-int.com/fw/Yitoa/626/user/20190730/sw_20190730_U626_5.20.1157_user.zip,2019-07-30,5.14.1225,https://support.pocketbook-int.com/fw/626/ww/5.14.1225/rn/de/RN_TL2_5.14.1225_DE.pdf,2017-07-18,"Juli 18, 2017",changelog PDF,1024×758,False,User_Manual_Touch_Lux_2_DE.pdf (FW 5.20.1157),Oldest release-notes PDF is titled 'PocketBook Touch Lux 3' (PocketBook naming typo).
Touch Lux 5 Ink Black / Touch Lux 5 Ruby Red,1363,6.9.988,https://download.pocketbook-int.com/fw/Yitoa/628/user/20260408/sw_20260408_U628_6.9.988_user.zip,2026-04-08,6.1.901,https://support.pocketbook-int.com/fw/628/u/6.1.901/rn/de/RN_PB_Touch_Lux_5_DE.pdf,2020-10-01,"Oktober 01, 2020",changelog PDF,758 × 1024,False,User_Manual_Touch_Lux_5_DE.pdf v6.9.988,6.1.408 (oldest) lacks release-notes; 6.1.901 is next-oldest with one.
Touch Lux 623 (Support eingestellt),156,4.4,https://download.pocketbook-int.com/fw/Foxconn/623/user/20140213/sw_20140213_623_W_us_syncV2_rr_s2pb_bookstore_br_4.4_614_user.zip,2014-02-13,4.2,https://support.pocketbook-int.com/fw/623/ww/4.2/rn/RN_PB_TouchLux_EN.pdf,2013-07-09,"July, 9 2013",changelog PDF,1024×758,False,User_Guide_PocketBook_623_DE.pdf (v4.4),Support eingestellt. Monochrome E Ink Pearl HD per manual (Schwarz-Weiß).
